manufacturer,year,model,total_range_in_mls,electric_consumption,electric_storage,analogue_consumption,analogue_storage,emission_value,min_price,max_price,car_type
Chevrolet,2021,Trax AWD,624,0,0.0,26,14.0,344,22900.0,24700.0,Regular Gasoline
Chevrolet,2020,Trax AWD,364,0,0.0,26,14.0,344,22800.0,29100.0,Regular Gasoline
Chevrolet,2019,Trax AWD,364,0,0.0,26,14.0,344,22800.0,29100.0,Regular Gasoline
Chevrolet,2022,Silverado 2WD,624,0,0.0,26,24.0,387,34600.0,59800.0,Diesel
Chevrolet,2022,Trax AWD,411,0,0.0,26,14.0,342,22020.0,23820.0,Regular Gasoline
Chevrolet,2021,Trax AWD,411,0,0.0,26,14.0,338,22900.0,24700.0,Regular Gasoline
Chevrolet,2024,Silverado 2WD,411,0,0.0,26,24.0,397,36800.0,62700.0,Diesel
Chevrolet,2022,Malibu,411,0,0.0,26,15.8,342,23400.0,33500.0,Premium Gasoline
Chevrolet,2021,Malibu,600,0,0.0,26,15.8,342,22140.0,33370.0,Regular Gasoline
Chevrolet,2020,Malibu,475,0,0.0,26,15.8,344,22095.0,33320.0,Premium Gasoline
Chevrolet,2019,Malibu,475,0,0.0,26,15.8,344,22090.0,31820.0,Premium Gasoline
Chevrolet,2020,Silverado 4WD,475,0,0.0,25,24.0,405,35500.0,56800.0,Diesel
Chevrolet,2020,Camaro,475,0,0.0,25,19.0,353,,,Premium Gasoline
Chevrolet,2019,Camaro,475,0,0.0,25,19.0,354,25000.0,68000.0,Premium Gasoline
Chevrolet,2023,Camaro,485,0,0.0,25,19.0,360,26400.0,73300.0,Premium Gasoline
Chevrolet,2022,Camaro,485,0,0.0,25,19.0,358,,,Premium Gasoline
Chevrolet,2021,Camaro,485,0,0.0,25,19.0,358,25000.0,69000.0,Premium Gasoline
Chevrolet,2024,Blazer FWD,485,0,0.0,25,19.4,358,35400.0,42800.0,Regular Gasoline
Chevrolet,2023,Blazer FWD,372,0,0.0,25,19.4,365,35100.0,42800.0,Regular Gasoline
Chevrolet,2022,Blazer FWD,372,0,0.0,25,19.4,358,33400.0,41100.0,Regular Gasoline
Chevrolet,2021,Blazer FWD,462,0,0.0,25,19.4,349,28800.0,42700.0,Regular Gasoline
Chevrolet,2020,Equinox FWD,576,0,0.0,25,14.9,350,23800.0,34100.0,Premium Gasoline
Chevrolet,2019,Equinox FWD,374,0,0.0,25,14.9,350,23800.0,33900.0,Premium Gasoline
Chevrolet,2019,Impala,374,0,0.0,25,18.5,362,28020.0,36720.0,Regular Gasoline
Chevrolet,2024,Silverado 4WD,521,0,0.0,24,24.0,416,41400.0,66500.0,Diesel
Chevrolet,2020,Equinox AWD,521,0,0.0,24,15.6,367,27900.0,35700.0,Premium Gasoline
Chevrolet,2019,Equinox AWD,521,0,0.0,24,15.6,367,27600.0,35700.0,Premium Gasoline
Chevrolet,2024,Blazer AWD,521,0,0.0,24,21.7,368,38100.0,45700.0,Regular Gasoline
Chevrolet,2023,Blazer AWD,466,0,0.0,24,21.7,368,37800.0,45700.0,Regular Gasoline
Chevrolet,2022,Blazer AWD,576,0,0.0,24,21.7,368,36100.0,44000.0,Regular Gasoline
Chevrolet,2021,Blazer AWD,576,0,0.0,24,21.7,362,35400.0,44900.0,Regular Gasoline
Chevrolet,2019,Blazer FWD,576,0,0.0,24,19.4,373,28800.0,42700.0,Regular Gasoline
Chevrolet,2023,Silverado 4WD,576,0,0.0,24,24.0,425,40900.0,65900.0,Diesel
Chevrolet,2023,Silverado 4WD,466,0,0.0,24,24.0,423,40900.0,65900.0,Diesel
Chevrolet,2022,Silverado 4WD,576,0,0.0,24,24.0,427,39200.0,63600.0,Diesel
Chevrolet,2021,Silverado 4WD,576,0,0.0,24,24.0,430,33900.0,57700.0,Diesel
Chevrolet,2020,Blazer FWD,576,0,0.0,24,19.4,362,28800.0,42700.0,Regular Gasoline
Chevrolet,2024,Tahoe 2WD,672,0,0.0,24,24.0,425,56200.0,76900.0,Diesel
Chevrolet,2023,Tahoe 2WD,552,0,0.0,24,24.0,428,54200.0,74400.0,Diesel
Chevrolet,2022,Tahoe 2WD,499,0,0.0,24,24.0,425,49700.0,70000.0,Diesel
Chevrolet,2021,Tahoe 2WD,446,0,0.0,24,28.0,421,49000.0,69600.0,Diesel
Chevrolet,2022,Silverado 4WD,446,0,0.0,23,24.0,443,39200.0,63600.0,Diesel
Chevrolet,2020,Blazer AWD,644,0,0.0,23,21.7,374,34800.0,45600.0,Regular Gasoline
Chevrolet,2021,Blazer FWD,644,0,0.0,23,19.4,382,28800.0,42700.0,Regular Gasoline
Chevrolet,2020,Blazer FWD,644,0,0.0,23,19.4,382,28800.0,42700.0,Regular Gasoline
Chevrolet,2024,Suburban 2WD,644,0,0.0,23,28.0,442,59200.0,79900.0,Diesel
Chevrolet,2023,Suburban 2WD,552,0,0.0,23,28.0,442,56900.0,77100.0,Diesel
Chevrolet,2022,Suburban 2WD,437,0,0.0,23,28.0,442,52400.0,72700.0,Diesel
Chevrolet,2021,Suburban 2WD,437,0,0.0,23,28.0,437,51700.0,72300.0,Diesel
Chevrolet,2024,Silverado 4WD,483,0,0.0,23,24.0,450,41400.0,66500.0,Diesel
Chevrolet,2020,Camaro,483,0,0.0,23,19.0,378,,,Premium Gasoline
Chevrolet,2019,Camaro,483,0,0.0,23,19.0,379,25000.0,68000.0,Premium Gasoline
Chevrolet,2022,Colorado 2WD,483,0,0.0,23,21.0,435,25200.0,34800.0,Diesel
Chevrolet,2021,Colorado 2WD,528,0,0.0,23,21.0,435,25200.0,33800.0,Diesel
Chevrolet,2020,Colorado 2WD,528,0,0.0,23,21.0,435,21300.0,33900.0,Diesel
Chevrolet,2019,Colorado 2WD,528,0,0.0,23,21.0,435,20600.0,34000.0,Diesel
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,427,0,0.0,22,24.0,463,,,Diesel
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,427,0,0.0,22,24.0,471,,,Diesel
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,462,0,0.0,22,24.0,463,,,Diesel
Chevrolet,2021,Blazer FWD,462,0,0.0,22,19.4,404,28800.0,42700.0,Regular Gasoline
Chevrolet,2019,Blazer FWD,462,0,0.0,22,19.4,405,28800.0,42700.0,Regular Gasoline
Chevrolet,2020,Colorado 2WD,616,0,0.0,22,21.0,406,21300.0,33900.0,Regular Gasoline
Chevrolet,2019,Colorado 2WD,616,0,0.0,22,21.0,406,20600.0,34000.0,Regular Gasoline
Chevrolet,2019,Colorado 2WD,616,0,0.0,22,21.0,403,20600.0,34000.0,Regular Gasoline
Chevrolet,2024,Suburban 4WD,616,0,0.0,22,28.0,462,62200.0,82900.0,Diesel
Chevrolet,2023,Suburban 4WD,528,0,0.0,22,28.0,462,59900.0,80100.0,Diesel
Chevrolet,2022,Suburban 4WD,528,0,0.0,22,28.0,462,55400.0,75700.0,Diesel
Chevrolet,2021,Suburban 4WD,528,0,0.0,22,28.0,444,54700.0,75300.0,Diesel
Chevrolet,2024,Tahoe 4WD,616,0,0.0,22,24.0,462,59200.0,79900.0,Diesel
Chevrolet,2023,Tahoe 4WD,471,0,0.0,22,24.0,462,57200.0,77400.0,Diesel
Chevrolet,2022,Tahoe 4WD,471,0,0.0,22,24.0,462,52700.0,73000.0,Diesel
Chevrolet,2021,Tahoe 4WD,418,0,0.0,22,28.0,444,52000.0,72600.0,Diesel
Chevrolet,2019,Traverse FWD,418,0,0.0,22,0.0,404,29930.0,45500.0,Premium Gasoline
Chevrolet,2023,Colorado 2WD,418,0,0.0,22,21.4,406,29200.0,31600.0,Regular Gasoline
Chevrolet,2024,Colorado 2WD,418,0,0.0,22,21.4,412,29500.0,31900.0,Regular Gasoline
Chevrolet,2022,Camaro,418,0,0.0,22,19.0,385,,,Premium Gasoline
Chevrolet,2021,Camaro,462,0,0.0,22,19.0,397,25000.0,69000.0,Premium Gasoline
Chevrolet,2020,Camaro,462,0,0.0,22,19.0,397,,,Regular Gasoline
Chevrolet,2019,Camaro,462,0,0.0,22,19.0,396,25000.0,68000.0,Regular Gasoline
Chevrolet,2023,Camaro,462,0,0.0,22,19.0,401,26400.0,73300.0,Premium Gasoline
Chevrolet,2022,Colorado 4WD,407,0,0.0,22,21.0,455,29100.0,38600.0,Diesel
Chevrolet,2021,Colorado 4WD,407,0,0.0,22,21.0,455,29100.0,37600.0,Diesel
Chevrolet,2020,Colorado 4WD,427,0,0.0,22,21.0,456,28700.0,37700.0,Diesel
Chevrolet,2019,Colorado 4WD,427,0,0.0,22,21.0,455,28700.0,37300.0,Diesel
Chevrolet,2020,Impala,427,0,0.0,22,18.5,406,31620.0,36720.0,Regular Gasoline
Chevrolet,2019,Impala,462,0,0.0,22,18.5,406,28020.0,36720.0,Regular Gasoline
Chevrolet,2023,Blazer FWD,462,0,0.0,22,19.4,404,35100.0,42800.0,Regular Gasoline
Chevrolet,2022,Blazer FWD,418,0,0.0,22,19.4,405,33400.0,41100.0,Regular Gasoline
Chevrolet,2024,Blazer FWD,418,0,0.0,22,19.4,411,35400.0,42800.0,Regular Gasoline
Chevrolet,2022,Colorado 2WD,418,0,0.0,22,21.0,413,25200.0,34800.0,Regular Gasoline
Chevrolet,2021,Colorado 2WD,418,0,0.0,22,21.0,413,25200.0,33800.0,Regular Gasoline
Chevrolet,2024,Camaro,407,0,0.0,22,19.0,407,30900.0,78100.0,Regular Gasoline
Chevrolet,2023,Camaro,296,0,0.0,22,19.0,407,26400.0,73300.0,Regular Gasoline
Chevrolet,2022,Camaro,407,0,0.0,22,19.0,404,,,Regular Gasoline
Chevrolet,2021,Camaro,296,0,0.0,22,19.0,404,25000.0,69000.0,Regular Gasoline
Chevrolet,2020,Impala,504,0,0.0,22,18.5,411,31620.0,36720.0,Regular Gasoline
Chevrolet,2019,Impala,504,0,0.0,22,18.5,409,28020.0,36720.0,Regular Gasoline
Chevrolet,2021,Silverado 2WD,504,0,0.0,21,24.0,423,29300.0,53900.0,Regular Gasoline
Chevrolet,2021,Silverado 2WD,504,0,0.0,21,24.0,421,29300.0,53900.0,Regular Gasoline
Chevrolet,2020,Silverado 2WD,504,0,0.0,21,24.0,421,28300.0,53300.0,Regular Gasoline
Chevrolet,2019,Silverado C10 2WD,504,0,0.0,21,24.0,421,32200.0,53300.0,Regular Gasoline
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,456,0,0.0,21,24.0,479,,,Diesel
Chevrolet,2024,Silverado 4WD ZR2,456,0,0.0,21,24.0,484,69900.0,69900.0,Diesel
Chevrolet,2023,Blazer AWD,407,0,0.0,21,21.7,417,37800.0,45700.0,Regular Gasoline
Chevrolet,2022,Blazer AWD,407,0,0.0,21,21.7,417,36100.0,44000.0,Regular Gasoline
Chevrolet,2021,Blazer AWD,449,0,0.0,21,19.4,413,35400.0,44900.0,Regular Gasoline
