emission_value,min_price,max_price,car_type
525,49000.0,69600.0,Premium Gasoline
523,49000.0,69600.0,Regular Gasoline
527,59200.0,79900.0,Regular Gasoline
527,57200.0,77400.0,Regular Gasoline
527,52700.0,73000.0,Regular Gasoline
523,52000.0,72600.0,Regular Gasoline
524,41400.0,66500.0,Regular Gasoline
535,41400.0,66500.0,Regular Gasoline
524,40900.0,65900.0,Regular Gasoline
535,40900.0,65900.0,Regular Gasoline
526,39200.0,63600.0,Regular Gasoline
522,48900.0,51800.0,Premium Gasoline
533,48900.0,51800.0,Premium Gasoline
515,39500.0,48800.0,Premium Gasoline
523,,,Regular Gasoline
523,,,Regular Gasoline
523,,,Regular Gasoline
524,,,Regular Gasoline
524,,,Regular Gasoline
515,54700.0,75300.0,Regular Gasoline
536,,,Regular Gasoline
532,55495.0,132900.0,Premium Gasoline
517,53800.0,65500.0,Premium Gasoline
517,50800.0,65500.0,Premium Gasoline
517,48000.0,62700.0,Premium Gasoline
517,48000.0,62700.0,Premium Gasoline
527,51000.0,65700.0,Premium Gasoline
527,51000.0,65700.0,Premium Gasoline
542,,,Regular Gasoline
539,,,Regular Gasoline
564,,,Regular Gasoline
546,36800.0,62700.0,Regular Gasoline
555,34600.0,59800.0,Regular Gasoline
547,29300.0,53900.0,Regular Gasoline
545,28300.0,53300.0,Regular Gasoline
546,41400.0,66500.0,Regular Gasoline
545,39200.0,63600.0,Regular Gasoline
547,35500.0,56600.0,Regular Gasoline
546,,,Regular Gasoline
555,,,Regular Gasoline
545,59900.0,80100.0,Regular Gasoline
554,55400.0,75700.0,Regular Gasoline
555,54700.0,75300.0,Regular Gasoline
545,,,Regular Gasoline
553,,,Regular Gasoline
555,,,Regular Gasoline
545,,,Regular Gasoline
552,,,Regular Gasoline
557,62200.0,82900.0,Regular Gasoline
564,,,Regular Gasoline
555,,,Regular Gasoline
541,29300.0,53900.0,Regular Gasoline
545,33900.0,57700.0,Regular Gasoline
543,50800.0,68500.0,Regular Gasoline
547,50800.0,68500.0,Regular Gasoline
541,53800.0,68500.0,Regular Gasoline
541,53800.0,68500.0,Regular Gasoline
561,30900.0,78100.0,Premium Gasoline
559,26400.0,73300.0,Premium Gasoline
562,25000.0,69000.0,Premium Gasoline
564,25000.0,69000.0,Premium Gasoline
565,,,Premium Gasoline
565,25000.0,68000.0,Premium Gasoline
560,33900.0,57700.0,Regular Gasoline
555,59200.0,79900.0,Premium Gasoline
555,56900.0,77100.0,Premium Gasoline
542,52400.0,72700.0,Premium Gasoline
547,52400.0,72700.0,Premium Gasoline
544,51700.0,72300.0,Premium Gasoline
557,50800.0,68500.0,Premium Gasoline
553,53800.0,68500.0,Premium Gasoline
555,56200.0,76900.0,Premium Gasoline
555,54200.0,74400.0,Premium Gasoline
542,49700.0,70000.0,Premium Gasoline
547,49700.0,70000.0,Premium Gasoline
544,49000.0,69600.0,Premium Gasoline
555,39200.0,63600.0,Premium Gasoline
555,39200.0,63600.0,Regular Gasoline
