electric_consumption,electric_storage,analogue_consumption,analogue_storage
0,0,15,24.0
0,0,15,0
0,0,15,0
0,0,15,0
0,0,15,0
0,0,15,0
0,0,15,24.0
0,0,15,0
0,0,15,24.0
0,0,15,24.0
0,0,15,24.0
0,0,15,0
0,0,15,0
0,0,15,24.0
0,0,15,18.5
0,0,15,24.0
0,0,15,0
0,0,15,24.0
0,0,15,18.5
0,0,15,18.5
0,0,15,18.5
0,0,14,0
0,0,14,0
0,0,14,24.0
0,0,14,18.5
0,0,14,18.5
103,8.1,0,0
103,8.1,0,0
101,10.1,0,0
101,11.4,0,0
101,7.4,0,0
100,8.8,0,0
99,10.2,0,0
98,10.1,0,0
98,11.4,0,0
97,10.9,0,0
97,10.9,0,0
93,8.5,0,0
93,8,0,0
93,8,0,0
92,10,0,0
91,10.7,0,0
90,10.7,0,0
84,10.3,0,0
84,10.3,0,0
84,10.3,0,0
82,10.1,0,0
82,10.1,0,0
82,10.1,0,0
70,10.1,0,0
70,10.1,0,0
68,11.9,0,0
68,11.9,0,0
105,3.3,105,12.0
105,3.3,105,12.0
102,3.3,102,12.0
66,9.3,0,0
66,9.3,0,0
101,3.4,101,12.0
103,2.6,103,14.0
103,2.6,103,14.0
102,2.6,102,14.0
102,2.6,102,14.0
0,0,42,14.0
0,0,42,14.0
0,0,41,14.2
0,0,41,0
0,0,41,0
0,0,41,14.0
0,0,41,14.0
0,0,40,14.2
0,0,40,0
0,0,40,0
0,0,39,14.3
0,0,39,14.3
0,0,39,14.3
0,0,39,14.3
0,0,37,13.8
0,0,37,13.8
0,0,37,13.8
0,0,31,12.4
0,0,30,14.8
0,0,30,0
0,0,30,12.4
0,0,30,14.8
0,0,30,14.8
0,0,30,0
0,0,28,13.8
0,0,28,13.8
0,0,28,13.6
0,0,28,18.0
0,0,28,15.7
0,0,28,15.7
0,0,28,15.7
0,0,28,0
0,0,28,0
0,0,28,12.4
0,0,27,18.0
0,0,27,18.0
0,0,27,18.0
0,0,27,16.5
0,0,27,16.5
0,0,26,16.0
0,0,26,16.0
0,0,26,16.0
0,0,26,16.0
0,0,26,18.0
0,0,26,18.0
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.7
0,0,26,15.7
0,0,26,0
0,0,26,0
0,0,26,15.7
0,0,26,16.5
0,0,26,16.5
0,0,26,0
0,0,26,15.7
0,0,25,30.6
0,0,25,30.6
0,0,25,0
0,0,25,15.8
0,0,25,15.8
0,0,25,15.8
0,0,25,15.8
0,0,25,15.8
0,0,25,15.8
0,0,25,15.8
0,0,25,15.8
0,0,25,15.8
0,0,25,0
0,0,25,13.8
0,0,25,13.8
0,0,25,13.8
0,0,25,13.6
0,0,25,18.0
0,0,25,18.0
0,0,25,18.0
0,0,25,18.0
0,0,25,15.5
0,0,25,15.9
0,0,25,24.5
0,0,25,18.5
0,0,25,15.7
0,0,25,16.5
0,0,25,16.5
0,0,25,15.9
0,0,25,15.5
0,0,25,15.5
0,0,25,15.5
0,0,25,15.5
0,0,25,16.5
0,0,25,16.5
0,0,25,16.5
0,0,25,15.5
0,0,24,30.6
0,0,24,15.7
0,0,24,24.5
0,0,24,0
0,0,24,16.5
0,0,24,15.5
0,0,24,15.5
0,0,24,18.5
0,0,24,18.5
0,0,24,15.7
0,0,24,15.7
0,0,24,26.0
0,0,24,15.5
0,0,24,15.9
0,0,24,15.5
0,0,24,0
0,0,24,17.9
0,0,24,17.9
0,0,24,17.9
0,0,24,17.9
0,0,24,17.9
0,0,24,17.9
0,0,24,26.0
0,0,24,26.0
0,0,24,24.5
0,0,23,18.0
0,0,23,18.0
0,0,23,30.6
0,0,23,0
0,0,23,30.6
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,15.7
0,0,23,16.0
0,0,23,16.0
0,0,23,16.0
0,0,23,16.0
0,0,23,18.0
0,0,23,18.0
0,0,23,18.0
0,0,23,18.0
0,0,23,18.0
0,0,23,18.0
0,0,23,18.0
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,17.9
0,0,23,17.9
0,0,23,15.5
0,0,23,15.5
0,0,23,15.9
0,0,23,15.9
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,23,17.9
0,0,23,17.9
0,0,23,17.9
0,0,23,17.9
0,0,23,17.9
0,0,23,17.9
0,0,23,24.5
0,0,23,15.5
0,0,23,15.9
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,23,15.9
0,0,23,15.5
0,0,23,15.5
0,0,23,15.5
0,0,22,18.8
0,0,22,15.5
0,0,22,15.9
0,0,22,15.5
0,0,22,0
0,0,22,15.8
0,0,22,15.8
0,0,22,15.8
0,0,22,15.8
0,0,22,15.8
0,0,22,15.8
0,0,22,17.9
0,0,22,17.9
0,0,22,29.5
0,0,22,24.5
0,0,22,24.5
0,0,22,29.5
0,0,22,29.5
0,0,22,18.0
0,0,22,18.0
0,0,22,15.8
0,0,22,15.8
0,0,22,15.8
0,0,22,15.8
0,0,22,15.8
0,0,22,24.5
0,0,22,26.0
0,0,22,24.5
0,0,22,18.8
0,0,22,18.0
0,0,22,18.0
0,0,22,18.0
0,0,22,18.0
0,0,22,18.1
0,0,22,18.6
0,0,22,15.5
0,0,22,15.9
0,0,22,15.5
0,0,22,15.5
0,0,22,29.5
0,0,22,29.5
0,0,21,24.5
0,0,21,16.5
0,0,21,0
0,0,21,18.0
0,0,21,18.0
0,0,21,18.5
0,0,21,18.5
0,0,21,18.5
0,0,21,18.5
0,0,21,18.5
0,0,21,18.5
0,0,21,29.5
0,0,21,29.5
0,0,21,29.5
0,0,21,15.5
0,0,21,15.9
0,0,21,15.5
0,0,21,29.5
0,0,21,29.5
0,0,21,24.5
0,0,21,24.5
0,0,21,24.5
0,0,21,29.5
0,0,21,18.0
0,0,21,18.0
0,0,21,17.9
0,0,21,17.9
0,0,21,17.9
0,0,21,17.9
0,0,21,17.9
0,0,21,20.2
0,0,21,20.2
0,0,21,20.2
0,0,21,19.0
0,0,21,19.0
0,0,21,18.6
0,0,21,29.5
0,0,21,29.5
0,0,21,29.5
0,0,20,18.0
0,0,20,18.0
0,0,20,18.0
0,0,20,18.0
0,0,20,18.0
0,0,20,18.0
0,0,20,29.5
0,0,20,0
0,0,20,29.5
0,0,20,24.5
0,0,20,24.5
0,0,20,18.0
0,0,20,18.0
0,0,20,17.9
0,0,20,17.9
0,0,20,17.9
0,0,20,20.2
0,0,20,20.2
0,0,20,17.9
0,0,20,17.9
0,0,20,20.2
0,0,20,20.2
0,0,20,20.2
0,0,20,20.2
0,0,20,20.2
0,0,20,20.2
0,0,20,24.5
0,0,20,24.5
0,0,20,29.5
0,0,20,24.5
0,0,20,29.5
0,0,20,29.5
0,0,20,29.5
0,0,20,29.5
0,0,20,24.5
0,0,20,24.5
0,0,20,29.5
0,0,20,29.5
0,0,20,29.5
0,0,20,18.0
0,0,20,0
0,0,20,29.5
0,0,20,29.5
0,0,20,23.3
0,0,20,18.6
0,0,20,20.2
0,0,20,20.2
0,0,20,17.9
0,0,20,18.6
0,0,20,24.5
0,0,20,24.5
0,0,20,24.5
0,0,20,24.5
0,0,20,29.5
0,0,20,24.5
0,0,19,18.0
0,0,19,18.0
0,0,19,18.0
0,0,19,18.0
0,0,19,18.0
0,0,19,29.5
0,0,19,24.5
0,0,19,24.5
0,0,19,19.0
0,0,19,19.0
0,0,19,23.2
0,0,19,23.2
0,0,19,23.2
0,0,19,25.0
0,0,19,25.0
0,0,19,30.0
0,0,19,30.0
0,0,19,28.3
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,24.5
0,0,19,24.5
0,0,19,29.5
0,0,19,25.0
0,0,19,25.0
0,0,19,23.3
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,16.0
0,0,19,16.0
0,0,19,0
0,0,19,29.5
0,0,19,29.5
0,0,19,29.5
0,0,19,0
0,0,19,19.0
0,0,19,23.2
0,0,19,23.2
0,0,19,0
0,0,19,0
0,0,19,18.6
0,0,19,18.6
0,0,19,24.5
0,0,19,24.5
0,0,19,16.0
0,0,19,15.9
0,0,19,15.5
0,0,18,18.0
0,0,18,18.0
0,0,18,18.1
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,18.0
0,0,18,23.2
0,0,18,23.2
0,0,18,23.2
0,0,18,18.6
0,0,18,18.6
0,0,18,29.5
0,0,18,29.5
0,0,18,29.5
0,0,18,24.5
0,0,18,24.5
0,0,18,29.5
0,0,18,18.6
0,0,18,23.2
0,0,18,23.2
0,0,18,30.0
0,0,18,30.0
0,0,18,28.3
0,0,18,29.5
0,0,18,29.5
0,0,18,29.5
0,0,18,29.5
0,0,18,29.5
0,0,18,24.5
0,0,18,24.5
0,0,18,24.5
0,0,18,24.5
0,0,18,0
0,0,18,16.0
0,0,18,15.9
0,0,18,15.5
0,0,18,16.0
0,0,18,16.0
0,0,18,16.0
0,0,18,16.0
0,0,18,16.0
0,0,18,0
0,0,18,16.0
0,0,18,15.9
0,0,18,15.5
0,0,18,16.0
0,0,18,16.0
0,0,18,16.0
0,0,18,29.5
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,23.2
0,0,17,23.2
0,0,17,23.2
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,18.0
0,0,17,20.3
0,0,17,18.0
0,0,17,18.0
0,0,17,18.6
0,0,17,29.5
0,0,17,29.5
0,0,17,29.5
0,0,17,36.0
0,0,17,36.0
0,0,17,23.2
0,0,17,23.2
0,0,17,25.0
0,0,17,25.0
0,0,17,0
0,0,17,16.0
0,0,17,0
0,0,17,0
0,0,17,16.0
0,0,17,16.0
0,0,17,16.0
0,0,16,25.0
0,0,16,25.0
0,0,16,36.0
0,0,16,26.0
0,0,16,36.0
0,0,16,29.5
0,0,16,29.5
0,0,16,16.0
0,0,16,16.0
0,0,16,29.5
0,0,16,25.0
0,0,16,29.5
0,0,16,25.0
0,0,16,25.0
0,0,15,18.0
0,0,15,20.8
0,0,15,20.8
0,0,15,36.0
0,0,15,26.0
0,0,15,36.0
0,0,15,36.0
0,0,15,26.0
0,0,15,36.0
0,0,15,25.0
0,0,15,25.0
0,0,15,36.0
0,0,15,26.0
0,0,15,36.0
0,0,14,16.0
0,0,14,16.0
0,0,14,0
0,0,14,16.0
0,0,14,16.0
0,0,14,0
0,0,14,0
0,0,12,29.5
0,0,12,36.0
112,8,0,0
111,8,0,0
111,8,0,0
111,8,0,0
111,8,0,0
111,8,0,0
109,11,0,0
109,11,0,0
108,11,0,0
108,11,0,0
108,11,0,0
108,11,0,0
104,11,0,0
104,11,0,0
104,11,0,0
104,11,0,0
103,14,0,0
101,10,0,0
98,14,0,0
95,10,0,0
92,13,0,0
90,14,0,0
87,14,0,0
0,0,35,10.8
0,0,35,10.8
0,0,35,10.8
0,0,35,10.8
0,0,35,10.8
0,0,34,14.5
0,0,34,10.8
0,0,34,12.4
0,0,33,10.8
0,0,33,10.8
0,0,33,10.8
0,0,33,10.8
0,0,33,10.8
0,0,33,10.8
0,0,33,14.5
0,0,33,12.4
0,0,33,14.5
0,0,33,14.5
0,0,33,14.5
0,0,33,14.5
0,0,33,14.5
0,0,33,14.5
0,0,33,12.4
0,0,33,12.4
0,0,33,12.4
0,0,33,12.4
0,0,32,14.5
0,0,32,13.2
0,0,32,14.5
0,0,32,14.5
0,0,32,14.5
0,0,32,14.5
0,0,32,14.5
0,0,32,16.2
0,0,32,16.2
0,0,32,16.2
0,0,32,16.2
0,0,32,12.4
0,0,32,12.4
0,0,32,12.4
0,0,32,12.4
0,0,32,16.2
0,0,32,16.2
0,0,31,14.5
0,0,31,14.5
0,0,31,14.5
0,0,31,14.5
0,0,31,14.5
0,0,31,14.5
0,0,31,14.5
0,0,31,14.5
0,0,31,16.2
0,0,31,16.2
0,0,31,16.2
0,0,31,16.2
0,0,31,16.2
0,0,31,16.2
0,0,31,16.2
0,0,31,16.2
0,0,30,10.8
0,0,30,14.5
0,0,30,13.2
0,0,30,10.8
0,0,30,10.8
0,0,30,10.8
0,0,30,10.8
0,0,30,10.8
0,0,30,16.0
0,0,30,16.0
0,0,30,16.0
0,0,30,16.0
0,0,30,16.0
0,0,30,16.0
0,0,29,13.2
0,0,29,14.5
0,0,29,14.5
0,0,29,14.5
0,0,29,14.5
0,0,29,16.0
0,0,29,16.0
0,0,29,16.0
0,0,29,16.0
0,0,29,16.2
0,0,29,16.2
0,0,29,16.2
0,0,29,16.2
0,0,29,16.2
0,0,29,16.2
0,0,28,14.5
0,0,28,14.5
0,0,28,14.5
0,0,28,14.5
0,0,28,14.5
0,0,27,14.5
0,0,27,14.5
0,0,27,13.2
0,0,27,13.2
0,0,27,14.5
0,0,27,14.5
0,0,27,14.5
0,0,27,14.5
0,0,25,14.5
0,0,25,28.0
0,0,25,14.5
0,0,24,0
0,0,24,18.0
0,0,24,18.0
0,0,24,18.0
0,0,24,18.0
0,0,24,18.0
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,18.5
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,19.0
0,0,23,18.5
