manufacturers,year,model,total_range_in_miles,emission_value,min_price,max_price,car_type,electric_consumption,electric_storage,analogue_consumption,analogue_storage,links
Chevrolet,2023,Equinox AWD,364,340,28200.0,33400.0,Regular Gasoline,0,0,26,15.6,Find.do?action=sbs&id=45827
Chevrolet,2023,Silverado 2WD,364,396,36300.0,62100.0,Unknown,0,0,26,24.0,Find.do?action=sbs&id=45772
Chevrolet,2021,Trax AWD,624,344,22900.0,24700.0,Regular Gasoline,0,0,26,14.0,Find.do?action=sbs&id=42640
Chevrolet,2020,Trax AWD,364,344,22800.0,29100.0,Regular Gasoline,0,0,26,14.0,Find.do?action=sbs&id=41521
Chevrolet,2019,Trax AWD,364,344,22800.0,29100.0,Regular Gasoline,0,0,26,14.0,Find.do?action=sbs&id=40749
Chevrolet,2022,Silverado 2WD,624,387,34600.0,59800.0,Unknown,0,0,26,24.0,Find.do?action=sbs&id=44580
Chevrolet,2022,Trax AWD,411,342,22020.0,23820.0,Regular Gasoline,0,0,26,14.0,Find.do?action=sbs&id=43813
Chevrolet,2021,Trax AWD,411,338,22900.0,24700.0,Regular Gasoline,0,0,26,14.0,Find.do?action=sbs&id=43577
Chevrolet,2024,Silverado 2WD,411,397,36800.0,62700.0,Unknown,0,0,26,24.0,Find.do?action=sbs&id=46815
Chevrolet,2022,Malibu,411,342,23400.0,33500.0,Unknown,0,0,26,15.8,Find.do?action=sbs&id=43895
Chevrolet,2021,Malibu,600,342,22140.0,33370.0,Regular Gasoline,0,0,26,15.8,Find.do?action=sbs&id=42941
Chevrolet,2020,Malibu,475,344,22095.0,33320.0,Unknown,0,0,26,15.8,Find.do?action=sbs&id=41425
Chevrolet,2019,Malibu,475,344,22090.0,31820.0,Unknown,0,0,26,15.8,Find.do?action=sbs&id=40563
Chevrolet,2020,Silverado 4WD,475,405,35500.0,56800.0,Unknown,0,0,25,24.0,Find.do?action=sbs&id=41842
Chevrolet,2020,Camaro,475,353,,,Unknown,0,0,25,19.0,Find.do?action=sbs&id=41549
Chevrolet,2019,Camaro,475,354,25000.0,68000.0,Unknown,0,0,25,19.0,Find.do?action=sbs&id=40461
Chevrolet,2023,Camaro,485,360,26400.0,73300.0,Unknown,0,0,25,19.0,Find.do?action=sbs&id=45345
Chevrolet,2022,Camaro,485,358,,,Unknown,0,0,25,19.0,Find.do?action=sbs&id=44214
Chevrolet,2021,Camaro,485,358,25000.0,69000.0,Unknown,0,0,25,19.0,Find.do?action=sbs&id=42889
Chevrolet,2024,Blazer FWD,485,358,35400.0,42800.0,Regular Gasoline,0,0,25,19.4,Find.do?action=sbs&id=46861
Chevrolet,2023,Blazer FWD,372,365,35100.0,42800.0,Regular Gasoline,0,0,25,19.4,Find.do?action=sbs&id=45406
Chevrolet,2022,Blazer FWD,372,358,33400.0,41100.0,Regular Gasoline,0,0,25,19.4,Find.do?action=sbs&id=44012
Chevrolet,2021,Blazer FWD,462,349,28800.0,42700.0,Regular Gasoline,0,0,25,19.4,Find.do?action=sbs&id=42898
Chevrolet,2020,Equinox FWD,576,350,23800.0,34100.0,Unknown,0,0,25,14.9,Find.do?action=sbs&id=41500
Chevrolet,2019,Equinox FWD,374,350,23800.0,33900.0,Unknown,0,0,25,14.9,Find.do?action=sbs&id=40266
Chevrolet,2019,Impala,374,362,28020.0,36720.0,Regular Gasoline,0,0,25,18.5,Find.do?action=sbs&id=40248
Chevrolet,2024,Silverado 4WD,521,416,41400.0,66500.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=46835
Chevrolet,2020,Equinox AWD,521,367,27900.0,35700.0,Unknown,0,0,24,15.6,Find.do?action=sbs&id=41505
Chevrolet,2019,Equinox AWD,521,367,27600.0,35700.0,Unknown,0,0,24,15.6,Find.do?action=sbs&id=40280
Chevrolet,2024,Blazer AWD,521,368,38100.0,45700.0,Regular Gasoline,0,0,24,21.7,Find.do?action=sbs&id=46878
Chevrolet,2023,Blazer AWD,466,368,37800.0,45700.0,Regular Gasoline,0,0,24,21.7,Find.do?action=sbs&id=45407
Chevrolet,2022,Blazer AWD,576,368,36100.0,44000.0,Regular Gasoline,0,0,24,21.7,Find.do?action=sbs&id=44019
Chevrolet,2021,Blazer AWD,576,362,35400.0,44900.0,Regular Gasoline,0,0,24,21.7,Find.do?action=sbs&id=42905
Chevrolet,2019,Blazer FWD,576,373,28800.0,42700.0,Regular Gasoline,0,0,24,19.4,Find.do?action=sbs&id=41172
Chevrolet,2023,Silverado 4WD,576,425,40900.0,65900.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=45796
Chevrolet,2023,Silverado 4WD,466,423,40900.0,65900.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=45798
Chevrolet,2022,Silverado 4WD,576,427,39200.0,63600.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=44582
Chevrolet,2021,Silverado 4WD,576,430,33900.0,57700.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=43100
